,Authors
1170,Bo Yuan
1171,Aqeeb Iqbal Arka
1172,Biresh Kumar Joardar
1173,Janardhan Rao Doppa
1174,Partha Pratim Pande
1175,Krishnendu Chakrabarty
1176,Yoo-Seung Won
1177,Soham Chatterjee
1178,Dirmanto Jap
1179,Arindam Basu
1180,Shivam Bhasin
1181,Sanmitra Banerjee
1182,Arjun Chaudhuri
1183,Jinwoo Kim
1184,Gauthaman Murali
1185,Mark Nelson
1186,Sung Kyu Lim
1187,Krishnendu Chakrabarty
1188,Kazuo Aoyama
1189,Hiroshi Sawada
1190,Yu-Neng Wang
1191,Yun-Rong Luo
1192,Po-Chun Chien
1193,Ping-Lun Wang
1194,Hao-Ren Wang
1195,Wan-Hsuan Lin
1196,Jie-Hong Roland Jiang
1197,Chung-Yang (Ric) Huang
1198,Mahabubul Alam
1199,Satwik Kundu
1200,Rasit Onur Topaloglu
1201,Swaroop Ghosh
1202,Fangzhou Wang
1203,Lixin Liu
1204,Jingsong Chen
1205,Jinwei Liu
1206,Xinshi Zang
1207,Martin D. F. Wong
1208,Hao Geng
1209,Fan Yang
1210,Xuan Zeng
1211,Bei Yu
1212,Shouvanik Chakrabarti
1213,Xuchen You
1214,Xiaodi Wu
1215,Weilin Luo
1216,Hai Wan
1217,Hongzhen Zhong
1218,Ou Wei
1219,Biqing Fang
1220,Xiaotong Song
1221,Ghasem Pasandi
1222,Sreedhar Pratty
1223,David Brown
1224,Yanqing Zhang
1225,Haoxing Ren
1226,Brucek Khailany
1227,Seungkyu Choi
1228,Jaekang Shin
1229,Lee-Sup Kim
1230,Tsung-Wei Huang
1231,Yu-Guang Chen
1232,Chun-Yao Wang
1233,Takashi Sato
1234,Rachmad Vidya Wicaksana Putra
1235,Muhammad Abdullah Hanif
1236,Muhammad Shafique
1237,Hao Zhang
1238,Weifeng He
1239,Yanan Sun
1240,Mingoo Seok
1241,Muhammad Rashedul Haq Rashed
1242,Sumit Kumar Jha
1243,Rickard Ewetz
1244,Hongwu Peng
1245,Shiyang Chen
1246,Zhepeng Wang
1247,Junhuan Yang
1248,Scott A. Weitze
1249,Tong Geng
1250,Ang Li
1251,Jinbo Bi
1252,Minghu Song
1253,Weiwen Jiang
1254,Hang Liu
1255,Caiwen Ding
1256,Wei Zhao
1257,Dan Feng
1258,Yu Hua
1259,Wei Tong
1260,Jingning Liu
1261,Jie Xu
1262,Chunyan Li
1263,Gaoxiang Xu
1264,Yiran Chen
1265,Yasasvi V. Peruvemba
1266,Shubham Rai
1267,Kapil Ahuja
1268,Akash Kumar
1269,Arman Roohi
1270,MohammadReza Taheri
1271,Shaahin Angizi
1272,Deliang Fan
1273,Arvind K. Sharma
1274,Meghna Madhusudan
1275,Steven M. Burns
1276,Soner Yaldiz
1277,Parijat Mukherjee
1278,Ramesh Harjani
1279,Sachin S. Sapatnekar
1280,W. Rhett Davis
1281,Paul D. Franzon
1282,Luis Francisco
1283,Billy Huggins
1284,Rajeev Jain
1285,Xuanyi Li
1286,Chen Li
1287,Yang Guo
1288,Rachata Ausavarungnirun
1289,Osaze Shears
1290,Kangjun Bai
1291,Lingjia Liu
1292,Yang Yi
1293,Kyeonghyeon Baek
1294,Taewhan Kim
1295,Francesco Restuccia
1296,Andres Meza
1297,Ryan Kastner
1298,Muhammad Shafique
1299,Alberto Marchisio
1300,Rachmad Vidya Wicaksana Putra
1301,Muhammad Abdullah Hanif
1302,Jeremy Blackstone
1303,Debayan Das
1304,Alric Althoff
1305,Shreyas Sen
1306,Ryan Kastner
1307,Jinwook Jung
1308,Andrew B. Kahng
1309,Seungwon Kim
1310,Ravi Varadarajan
1311,Dajiang Liu
1312,Ting Liu
1313,Xingyu Mo
1314,Jiaxing Shang
1315,Shouyi Yin
1316,Johann Knechtel
1317,Jayanth Gopinath
1318,Jitendra Bhandari
1319,Mohammed Ashraf
1320,Hussam Amrouch
1321,Shekhar Borkar
1322,Sung Kyu Lim
1323,Ozgur Sinanoglu
1324,Ramesh Karri
1325,Jai-Ming Lin
1326,Chung-Wei Huang
1327,Liang-Chi Zane
1328,Min-Chia Tsai
1329,Che-Li Lin
1330,Chen-Fa Tsai
1331,Imam Al Razi
1332,Quang Le
1333,H. Alan Mantooth
1334,Yarui Peng
1335,Samuel Riedel
1336,Fabian Schuiki
1337,Paul Scheffler
1338,Florian Zaruba
1339,Luca Benini
1340,Seetal Potluri
1341,Aydin Aysu
1342,Jitendra Bhandari
1343,Abdul Khader Thalakkattu Moosa
1344,Benjamin Tan
1345,Christian Pilato
1346,Ganesh Gore
1347,Xifan Tang
1348,Scott Temple
1349,Pierre-Emmanuel Gaillardon
1350,Ramesh Karri
1351,Yongan Zhang
1352,Haoran You
1353,Yonggan Fu
1354,Tong Geng
1355,Ang Li
1356,Yingyan Lin
1357,Zih-Yao Lin
1358,Yao-Wen Chang
1359,Md. Shohidul Islam
1360,Ihsen Alouani
1361,Khaled N. Khasawneh
1362,Shaoze Fan
1363,Ningyuan Cao
1364,Shun Zhang
1365,Jing Li
1366,Xiaoxiao Guo
1367,Xin Zhang
1368,Jianli Chen
1369,Iris Hui-Ru Jiang
1370,Jinwook Jung
1371,Andrew B. Kahng
1372,Seungwon Kim
1373,Victor N. Kravets
1374,Yih-Lang Li
1375,Ravi Varadarajan
1376,Mingyu Woo
1377,Bochen Tan
1378,Jason Cong
1379,Ali Aghdaei
1380,Zhiqiang Zhao
1381,Zhuo Feng
1382,Mojan Javaheripi
1383,Farinaz Koushanfar
1384,Nitthilan Kannappan Jayakodi
1385,Janardhan Rao Doppa
1386,Partha Pratim Pande
1387,Wei-Kai Liu
1388,Ming-Hung Chen
1389,Chia-Ming Chang
1390,Chen-Chia Chang
1391,Yao-Wen Chang
1392,Biresh Kumar Joardar
1393,Aqeeb Iqbal Arka
1394,Janardhan Rao Doppa
1395,Partha Pratim Pande
1396,Hai Li
1397,Krishnendu Chakrabarty
1398,Marcello Traiola
1399,Jorge Echavarria
1400,Alberto Bosio
1401,Jürgen Teich
1402,Ian O'Connor
1403,Chang Meng
1404,Zhiyuan Xiang
1405,Niyiqiu Liu
1406,Yixuan Hu
1407,Jiahao Song
1408,Runsheng Wang
1409,Ru Huang
1410,Weikang Qian
1411,Shiju Lin
1412,Jinwei Liu
1413,Martin D. F. Wong
1414,Rongjian Liang
1415,Jinwook Jung
1416,Hua Xiang
1417,Lakshmi N. Reddy
1418,Alexey Lvov
1419,Jiang Hu
1420,Gi-Joon Nam
1421,Guoqi Xie
1422,Xiangzhen Xiao
1423,Hong Liu
1424,Renfa Li
1425,Wanli Chang
1426,Vidya A. Chhabria
1427,Kishor Kunal
1428,Masoud Zabihi
1429,Sachin S. Sapatnekar
1430,Nanda K. Unnikrishnan
1431,Keshab K. Parhi
1432,Kai-Shun Hu
1433,Tao-Chun Yu
1434,Ming-Jen Yang
1435,Cindy Chin-Fang Shen
1436,Fangxin Liu
1437,Wenbo Zhao
1438,Zhezhi He
1439,Zongwu Wang
1440,Yilong Zhao
1441,Yongbiao Chen
1442,Li Jiang
1443,Mohammad Abdullah Al Shohel
1444,Vidya A. Chhabria
1445,Nestor E. Evmorfopoulos
1446,Sachin S. Sapatnekar
1447,Cheng Zeng
1448,Fan Yang
1449,Xuan Zeng
1450,Mahdi Nazemi
1451,Hitarth Kanakia
1452,Massoud Pedram
1453,Yitu Wang
1454,Zhenhua Zhu
1455,Fan Chen
1456,Mingyuan Ma
1457,Guohao Dai
1458,Yu Wang
1459,Hai Li
1460,Yiran Chen
1461,Tingyuan Liang
1462,Gengjie Chen
1463,Jieru Zhao
1464,Sharad Sinha
1465,Wei Zhang
1466,Zhepeng Wang
1467,Zhiding Liang
1468,Shanglin Zhou
1469,Caiwen Ding
1470,Yiyu Shi
1471,Weiwen Jiang
1472,Xing Huang
1473,Youlin Pan
1474,Zhen Chen
1475,Wenzhong Guo
1476,Robert Wille
1477,Tsung-Yi Ho
1478,Ulf Schlichtmann
1479,Matthew M. Ziegler
1480,Jihye Kwon
1481,Hung-Yi Liu
1482,Luca P. Carloni
1483,Hussam Amrouch
1484,Di Gao
1485,Xiaobo Sharon Hu
1486,Arman Kazemi
1487,Ann Franchesca Laguna
1488,Kai Ni
1489,Michael T. Niemier
1490,Mohammad Mehdi Sharifi
1491,Simon Thomann
1492,Xunzhao Yin
1493,Cheng Zhuo
1494,Mehran Goli
1495,Rolf Drechsler
1496,Xuan Wang
1497,Zhufei Chu
1498,Weikang Qian
1499,Zhuolun He
1500,Ziyi Wang
1501,Chen Bail
1502,Haoyu Yang
1503,Bei Yu
1504,Yuwei Hu
1505,Yixiao Du
1506,Ecenur Ustun
1507,Zhiru Zhang
1508,Priyanka Golia
1509,Friedrich Slivovsky
1510,Subhajit Roy
1511,Kuldeep S. Meel
1512,Yu Zeng
1513,Bo-Yuan Huang
1514,Hongce Zhang
1515,Aarti Gupta
1516,Sharad Malik
1517,Necati Uysal
1518,Rickard Ewetz
1519,Panjie Qi
1520,Edwin Hsing-Mean Sha
1521,Qingfeng Zhuge
1522,Hongwu Peng
1523,Shaoyi Huang
1524,Zhenglun Kong
1525,Yuhong Song
1526,Bingbing Li
1527,Jiaxi Zhang
1528,Liwei Ni
1529,Shenggen Zheng
1530,Hao Liu
1531,Xiangfu Zou
1532,Feng Wang
1533,Guojie Luo
1534,Shuhang Zhang
1535,Hai Li
1536,Ulf Schlichtmann
1537,Haoxing Ren
1538,Saad Godil
1539,Brucek Khailany
1540,Robert Kirby
1541,Haiguang Liao
1542,Siddhartha Nath
1543,Jonathan Raiman
1544,Rajarshi Roy
1545,Binwu Zhu
1546,Ran Chen
1547,Xinyun Zhang
1548,Fan Yang
1549,Xuan Zeng
1550,Bei Yu
1551,Martin D. F. Wong
1552,Fu-Yu Chuang
1553,Yao-Wen Chang
