,PaperName,Year,sources,place,authors,hyperlink,citationG,citationO,citationI
44,A Dynamic Link-latency Aware Cache Replacement Policy (DLRP).,2021,ACM, Taiwan,"Yen-Hao Chen, Allen C.-H. Wu, TingTing Hwang",https://doi.org/10.1145/3394885.3431420,1,0,0
45,Prediction of Register Instance Usage and Time-sharing Register for Extended Register Reuse Scheme.,2021,ACM, Taiwan,"Shuxin Zhou, Huandong Wang, Dong Tong",https://doi.org/10.1145/3394885.3431412,0,0,0
46,Residue-Net: Multiplication-free Neural Network by In-situ No-loss Migration to Residue Number Systems.,2021,ACM, Taiwan,"Sahand Salamat, Sumiran Shubhi, Behnam Khaleghi, Tajana Rosing",https://doi.org/10.1145/3394885.3431541,2,0,0
47,A Multiple-Precision Multiply and Accumulation Design with Multiply-Add Merged Strategy for AI Accelerating.,2021,ACM, Taiwan,"Song Zhang, Jiangyuan Gu, Shouyi Yin, Leibo Liu, Shaojun Wei",https://doi.org/10.1145/3394885.3431531,1,1,0
48,DeepOpt: Optimized Scheduling of CNN Workloads for ASIC-based Systolic Deep Learning Accelerators.,2021,ACM, Taiwan,"Susmita Dey Manasi, Sachin S. Sapatnekar",https://doi.org/10.1145/3394885.3431539,8,0,0
49,"Value-Aware Error Detection and Correction for SRAM Buffers in Low-Bitwidth, Floating-Point CNN Accelerators.",2021,ACM, Taiwan,"Jun-Shen Wu, Chi-En Wang, Ren-Shuo Liu",https://doi.org/10.1145/3394885.3431540,0,0,0
50,MIPAC: Dynamic Input-Aware Accuracy Control for Dynamic Auto-Tuning of Iterative Approximate Computing.,2021,ACM, Taiwan,"Taylor Kemp, Yao Yao, Younghyun Kim",https://doi.org/10.1145/3394885.3431551,3,0,0
51,Normalized Stability: A Cross-Level Design Metric for Early Termination in Stochastic Computing.,2021,ACM, Taiwan,"Di Wu, Ruokai Yin, Joshua San Miguel",https://doi.org/10.1145/3394885.3431549,4,0,0
52,Zero Correlation Error: A Metric for Finite-Length Bitstream Independence in Stochastic Computing.,2021,ACM, Taiwan,"Hsuan Hsiao, Joshua San Miguel, Yuko Hara-Azumi, Jason Helge Anderson",https://doi.org/10.1145/3394885.3431552,4,0,0
53,An Efficient Approximate Node Merging with an Error Rate Guarantee.,2021,ACM, Taiwan,"Kit Seng Tam, Chia-Chun Lin, Yung-Chih Chen, Chun-Yao Wang",https://doi.org/10.1145/3394885.3431550,1,0,0
54,An Adaptive Delay Model for Timing Yield Estimation under Wide-Voltage Range.,2021,ACM, Taiwan,"Hao Yan, Xiao Shi, Chengzhen Xuan, Peng Cao, Longxing Shi",https://doi.org/10.1145/3394885.3431581,0,0,0
55,ATM: A High Accuracy Extracted Timing Model for Hierarchical Timing Analysis.,2021,ACM, Taiwan,"Kuan-Ming Lai, Tsung-Wei Huang, Pei-Yu Lee, Tsung-Yi Ho",https://doi.org/10.1145/3394885.3431578,1,0,0
56,Mode-wise Voltage-scalable Design with Activation-aware Slack Assignment for Energy Minimization.,2021,ACM, Taiwan,"TaiYu Cheng, Yukata Masuda, Jun Nagayama, Yoichi Momiyama, Jun Chen, Masanori Hashimoto",https://doi.org/10.1145/3394885.3431575,1,0,0
57,A Timing Prediction Framework for Wide Voltage Design with Data Augmentation Strategy.,2021,ACM, Taiwan,"Peng Cao, Wei Bao, Kai Wang, Tai Yang",https://doi.org/10.1145/3394885.3431582,1,1,0
58,Energy-Efficient Deep Neural Networks with Mixed-Signal Neurons and Dense-Local and Sparse-Global Connectivity.,2021,ACM, Taiwan,"Baibhab Chatterjee, Shreyas Sen",https://doi.org/10.1145/3394885.3431614,1,0,0
59,Merged Logic and Memory Fabrics for AI Workloads.,2021,ACM, Taiwan,"Brian Crafton, Samuel Spetalnick, Arijit Raychowdhury",https://doi.org/10.1145/3394885.3431615,0,0,0
60,Vision Control Unit in Fully Self Driving Vehicles using Xilinx MPSoC and Opensource Stack.,2021,ACM, Taiwan,"Ravikumar V. Chakaravarthy, Hyun Kwon, Hua Jiang",https://doi.org/10.1145/3394885.3431616,1,0,0
61,Constrained Conservative State Symbolic Co-analysis for Ultra-low-power Embedded Systems.,2021,ACM, Taiwan,"Shashank Hegde, Subhash Sethumurugan, Hari Cherupalli, Henry Duwe, John Sartori",https://doi.org/10.1145/3394885.3431157,1,0,0
62,Arbitrary and Variable Precision Floating-Point Arithmetic Support in Dynamic Binary Translation.,2021,ACM, Taiwan,"Marie Badaroux, Frédéric Pétrot",https://doi.org/10.1145/3394885.3431416,1,0,0
63,Optimizing Temporal Decoupling using Event Relevance.,2021,ACM, Taiwan,"Lukas Jünger, Carmine Bianco, Kristof Niederholtmeyer, Dietmar Petras, Rainer Leupers",https://doi.org/10.1145/3394885.3431419,1,0,0
64,Design Space Exploration of Heterogeneous-Accelerator SoCs with Hyperparameter Optimization.,2021,ACM, Taiwan,"Thanh Cong, François Charot",https://doi.org/10.1145/3394885.3431415,1,0,0
65,DNR: A Tunable Robust Pruning Framework Through Dynamic Network Rewiring of DNNs.,2021,ACM, Taiwan,"Souvik Kundu, Mahdi Nazemi, Peter A. Beerel, Massoud Pedram",https://doi.org/10.1145/3394885.3431542,24,0,0
66,Dynamic Programming Assisted Quantization Approaches for Compressing Normal and Robust DNN Models.,2021,ACM, Taiwan,"Dingcheng Yang, Wenjian Yu, Haoyuan Mu, Gary Yao",https://doi.org/10.1145/3394885.3431538,4,2,0
67,Accelerate Non-unit Stride Convolutions with Winograd Algorithms.,2021,ACM, Taiwan,"Junhao Pan, Deming Chen",https://doi.org/10.1145/3394885.3431534,10,1,0
68,Efficient Accuracy Recovery in Approximate Neural Networks by Systematic Error Modelling.,2021,ACM, Taiwan,"Cecilia De la Parra, Andre Guntoro, Akash Kumar",https://doi.org/10.1145/3394885.3431533,2,0,0
69,Mixed Precision Quantization for ReRAM-based DNN Inference Accelerators.,2021,ACM, Taiwan,"Sitao Huang, Aayush Ankit, Plínio Silveira, Rodrigo Antunes, Sai Rahul Chalamalasetti, Izzat El Hajj, Dong Eun Kim, Glaucimar Aguiar, Pedro Bruel, Sergey Serebryakov, Cong Xu, Can Li, Paolo Faraboschi, John Paul Strachan, Deming Chen, Kaushik Roy, Wen-Mei W. Hwu, Dejan S. Milojicic",https://doi.org/10.1145/3394885.3431554,20,4,0
70,A reduced-precision streaming SpMV architecture for Personalized PageRank on FPGA.,2021,ACM, Taiwan,"Alberto Parravicini, Francesco Sgherzi, Marco D. Santambrogio",https://doi.org/10.1145/3394885.3431548,10,5,0
71,HyperRec: Efficient Recommender Systems with Hyperdimensional Computing.,2021,ACM, Taiwan,"Yunhui Guo, Mohsen Imani, Jaeyoung Kang, Sahand Salamat, Justin Morris, Baris Aksanli, Yeseong Kim, Tajana Rosing",https://doi.org/10.1145/3394885.3431553,6,0,0
